title,detail_url,act_details_url,enactment_date,document_type,pdf_url,raw_source,act_id,full_text_source,is_amendment,original_detail_url,original_title,original_raw_source,original_act_details_url,original_act_id,original_full_text_source,original_enactment_date
"Bangladesh Bank (Amendment) Ordinance, 2024",http://bdlaws.minlaw.gov.bd/act-1494.html,http://bdlaws.minlaw.gov.bd/act-details-1494.html,2024-08-13,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2024-08-15-09-42-55-Ordinance-No.-1-2024.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1494-html.html,act-1494,data\full_text\act-details-1494.txt,True,http://bdlaws.minlaw.gov.bd/act-415.html,"The Bangladesh Bank Order, 1972 (President's Order)",data\raw\http-bdlaws-minlaw-gov-bd-act-415-html.html,http://bdlaws.minlaw.gov.bd/act-details-415.html,act-415,data\full_text\act-details-415.txt,1972-10-31
"জেলা পরিষদ (সংশোধন) অধ্যাদেশ, ২০২৪",http://bdlaws.minlaw.gov.bd/act-1498.html,http://bdlaws.minlaw.gov.bd/act-details-1498.html,2024-08-17,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2024-08-20-15-01-28-Ordinance-No-2-of-2024.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1498-html.html,act-1498,data\full_text\act-details-1498.txt,True,http://bdlaws.minlaw.gov.bd/act-841.html,"জেলা পরিষদ আইন, ২০০০",data\raw\http-bdlaws-minlaw-gov-bd-act-841-html.html,http://bdlaws.minlaw.gov.bd/act-details-841.html,act-841,data\full_text\act-details-841.txt,2000-06-07
"উপজেলা পরিষদ (সংশোধন) অধ্যাদেশ, ২০২৪",http://bdlaws.minlaw.gov.bd/act-1499.html,http://bdlaws.minlaw.gov.bd/act-details-1499.html,2024-08-17,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2024-08-20-15-08-57-Ordinance-No-3-of-2024.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1499-html.html,act-1499,data\full_text\act-details-1499.txt,True,http://bdlaws.minlaw.gov.bd/act-827.html,"উপজেলা পরিষদ আইন, ১৯৯৮",data\raw\http-bdlaws-minlaw-gov-bd-act-827-html.html,http://bdlaws.minlaw.gov.bd/act-details-827.html,act-827,data\full_text\act-details-827.txt,1998-03-12
"স্থানীয় সরকার (সিটি কর্পোরেশন) (সংশোধন) অধ্যাদেশ, ২০২৪",http://bdlaws.minlaw.gov.bd/act-1500.html,http://bdlaws.minlaw.gov.bd/act-details-1500.html,2024-08-17,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2024-08-20-15-13-54-Ordinance-No-4-of-2024.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1500-html.html,act-1500,data\full_text\act-details-1500.txt,True,http://bdlaws.minlaw.gov.bd/act-1026.html,"স্থানীয় সরকার (সিটি কর্পোরেশন) আইন, ২০০৯",data\raw\http-bdlaws-minlaw-gov-bd-act-1026-html.html,http://bdlaws.minlaw.gov.bd/act-details-1026.html,act-1026,data\full_text\act-details-1026.txt,2009-10-15
"স্থানীয় সরকার (পৌরসভা) (সংশোধন) অধ্যাদেশ, ২০২৪",http://bdlaws.minlaw.gov.bd/act-1501.html,http://bdlaws.minlaw.gov.bd/act-details-1501.html,2024-08-17,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2024-08-20-15-18-57-Ordinance-No-5-of-2024.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1501-html.html,act-1501,data\full_text\act-details-1501.txt,True,,,,,,,
"শেখ হাসিনা জাতীয় যুব উন্নয়ন ইনস্টিটিউট (সংশোধন) অধ্যাদেশ, ২০২৪",http://bdlaws.minlaw.gov.bd/act-1502.html,http://bdlaws.minlaw.gov.bd/act-details-1502.html,2024-08-27,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2024-08-28-11-08-34-Ordinance-No.-06-of-2024.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1502-html.html,act-1502,data\full_text\act-details-1502.txt,True,http://bdlaws.minlaw.gov.bd/act-1234.html,"জাতীয় যুব উন্নয়ন ইনস্টিটিউট আইন, ২০১৮",data\raw\http-bdlaws-minlaw-gov-bd-act-1234-html.html,http://bdlaws.minlaw.gov.bd/act-details-1234.html,act-1234,data\full_text\act-details-1234.txt,2018-02-28
"বাংলাদেশ এনার্জি রেগুলেটরী কমিশন (সংশোধন) অধ্যাদেশ, ২০২৪",http://bdlaws.minlaw.gov.bd/act-1503.html,http://bdlaws.minlaw.gov.bd/act-details-1503.html,2024-08-27,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2024-08-28-11-10-16-Ordinance-No.-07-of-2024.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1503-html.html,act-1503,data\full_text\act-details-1503.txt,True,http://bdlaws.minlaw.gov.bd/act-902.html,"বাংলাদেশ এনার্জি রেগুলেটরী কমিশন আইন, ২০০৩",data\raw\http-bdlaws-minlaw-gov-bd-act-902-html.html,http://bdlaws.minlaw.gov.bd/act-details-902.html,act-902,data\full_text\act-details-902.txt,2003-03-13
"জাতির পিতার পরিবার-সদস্যগণের নিরাপত্তা (রহিতকরণ) অধ্যাদেশ, ২০২৪",http://bdlaws.minlaw.gov.bd/act-1505.html,http://bdlaws.minlaw.gov.bd/act-details-1505.html,2024-09-09,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2024-09-10-10-58-50-Ordinance-No-09-of-2024.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1505-html.html,act-1505,data\full_text\act-details-1505.txt,False,,,,,,,
"পানি সরবরাহ ও পয়ঃনিষ্কাশন কর্তৃপক্ষ (সংশোধন) অধ্যাদেশ, ২০২৪",http://bdlaws.minlaw.gov.bd/act-1506.html,http://bdlaws.minlaw.gov.bd/act-details-1506.html,2024-10-24,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2024-10-28-10-46-02-Ordinance-10-of-2024.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1506-html.html,act-1506,data\full_text\act-details-1506.txt,True,http://bdlaws.minlaw.gov.bd/act-804.html,"পানি সরবরাহ ও পয়ঃনিষ্কাশন কর্তৃপক্ষ আইন, ১৯৯৬",data\raw\http-bdlaws-minlaw-gov-bd-act-804-html.html,http://bdlaws.minlaw.gov.bd/act-details-804.html,act-804,data\full_text\act-details-804.txt,
"সরকারি, স্বায়ত্তশাসিত,1[***] সংবিধিবদ্ধ সরকারি কর্তৃপক্ষ, পাবলিক নন-ফাইন্যানসিয়াল কর্পোরেশনসহ স্ব-শাসিত সংস্থাসমূহে সরাসরি নিয়োগের ক্ষেত্রে সর্বোচ্চ বয়সসীমা নির্ধারণ অধ্যাদেশ, ২০২৪",http://bdlaws.minlaw.gov.bd/act-1507.html,http://bdlaws.minlaw.gov.bd/act-details-1507.html,2024-11-18,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2024-11-19-16-04-47-Ordinance-No.-11-of-2024.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1507-html.html,act-1507,data\full_text\act-details-1507.txt,False,,,,,,,
